Date,Open,High,Low,Close,Adj Close**,Volume
"Aug 27, 2020",28384,28634,28364,28492,"28,492.27",404340000
"Aug 26, 2020",28258,28354,28154,28332,"28,331.92",327070000
"Aug 25, 2020",28347,28401,28095,28248,"28,248.44",338420000
"Aug 24, 2020",28078,28315,28042,28308,"28,308.46",383880000
"Aug 21, 2020",27758,27959,27687,27930,"27,930.33",372720000
"Aug 20, 2020",27623,27781,27526,27740,"27,739.73",304550000
"Aug 19, 2020",27811,27920,27648,27693,"27,692.88",311460000
"Aug 18, 2020",27853,27891,27669,27778,"27,778.07",276170000
"Aug 17, 2020",27970,28000,27816,27845,"27,844.91",286860000
"Aug 14, 2020",27829,27978,27759,27931,"27,931.02",275540000
"Aug 13, 2020",27923,27986,27790,27897,"27,896.72",360160000
"Aug 12, 2020",27860,28044,27843,27977,"27,976.84",340210000
"Aug 11, 2020",27962,28155,27625,27687,"27,686.91",428220000
"Aug 10, 2020",27488,27804,27488,27791,"27,791.44",360340000
"Aug 07, 2020",27322,27456,27224,27433,"27,433.48",321170000
"Aug 06, 2020",27171,27394,27145,27387,"27,386.98",322460000
"Aug 05, 2020",26925,27222,26925,27202,"27,201.52",366000000
"Aug 04, 2020",26665,26833,26598,26828,"26,828.47",346350000
"Aug 03, 2020",26542,26707,26534,26664,"26,664.40",439380000
"Jul 31, 2020",26409,26440,26014,26428,"26,428.32",488050000
"Jul 30, 2020",26367,26375,25992,26314,"26,313.65",351540000
"Jul 29, 2020",26388,26602,26375,26540,"26,539.57",347580000
"Jul 28, 2020",26529,26557,26362,26379,"26,379.28",361090000
"Jul 27, 2020",26448,26625,26427,26585,"26,584.77",400930000
"Jul 24, 2020",26533,26626,26403,26470,"26,469.89",494170000
"Jul 23, 2020",26956,26974,26560,26652,"26,652.33",419800000
"Jul 22, 2020",26825,27035,26794,27006,"27,005.84",404340000
"Jul 21, 2020",26833,27025,26766,26840,"26,840.40",364930000
"Jul 20, 2020",26660,26765,26504,26681,"26,680.87",309390000
"Jul 17, 2020",26775,26808,26620,26672,"26,671.95",296460000
"Jul 16, 2020",26747,26879,26590,26735,"26,734.71",287330000
"Jul 15, 2020",27010,27071,26692,26870,"26,870.10",384900000
"Jul 14, 2020",26044,26691,25995,26643,"26,642.59",401640000
"Jul 13, 2020",26225,26639,26044,26086,"26,085.80",425320000
"Jul 10, 2020",25690,26101,25638,26075,"26,075.30",338170000
"Jul 09, 2020",26095,26103,25524,25706,"25,706.09",387610000
"Jul 08, 2020",25950,26109,25816,26067,"26,067.28",337300000
"Jul 07, 2020",26172,26175,25867,25890,"25,890.18",346820000
"Jul 06, 2020",25996,26298,25996,26287,"26,287.03",340690000
"Jul 02, 2020",25936,26204,25778,25827,"25,827.36",349130000
"Jul 01, 2020",25879,26019,25714,25735,"25,734.97",373180000
"Jun 30, 2020",25512,25905,25475,25813,"25,812.88",410780000
"Jun 29, 2020",25152,25601,25096,25596,"25,595.80",378070000
"Jun 26, 2020",25642,25642,24971,25016,"25,015.55",640860000
"Jun 25, 2020",25365,25770,25210,25746,"25,745.60",384560000
"Jun 24, 2020",25993,25993,25297,25446,"25,445.94",450120000
"Jun 23, 2020",26159,26315,26106,26156,"26,156.10",389980000
"Jun 22, 2020",25865,26060,25668,26025,"26,024.96",351780000
"Jun 19, 2020",26213,26451,25760,25871,"25,871.46",669390000
"Jun 18, 2020",26016,26154,25849,26080,"26,080.10",328390000
"Jun 17, 2020",26331,26400,26068,26120,"26,119.61",328830000
"Jun 16, 2020",26327,26611,25812,26290,"26,289.98",489500000
"Jun 15, 2020",25270,25892,24843,25763,"25,763.16",461230000
"Jun 12, 2020",25659,25966,25078,25606,"25,605.54",514440000
"Jun 11, 2020",26283,26294,25083,25128,"25,128.17",647780000
"Jun 10, 2020",27252,27355,26938,26990,"26,989.99",448930000
"Jun 09, 2020",27447,27447,27151,27272,"27,272.30",381430000
"Jun 08, 2020",27233,27580,27232,27572,"27,572.44",430200000
"Jun 05, 2020",26837,27338,26837,27111,"27,110.98",542310000
"Jun 04, 2020",26226,26384,26082,26282,"26,281.82",372190000
"Jun 03, 2020",25907,26338,25907,26270,"26,269.89",398790000
"Jun 02, 2020",25583,25743,25524,25743,"25,742.65",352610000
"Jun 01, 2020",25343,25509,25221,25475,"25,475.02",338310000
"May 29, 2020",25324,25483,25032,25383,"25,383.11",527620000
"May 28, 2020",25697,25759,25359,25401,"25,400.64",377800000
"May 27, 2020",25299,25552,25010,25548,"25,548.27",411230000
"May 26, 2020",24782,25176,24782,24995,"24,995.11",424380000
"May 22, 2020",24462,24482,24294,24465,"24,465.16",255660000
"May 21, 2020",24564,24718,24371,24474,"24,474.12",346770000
"May 20, 2020",24456,24649,24456,24576,"24,575.90",366510000
"May 19, 2020",24577,24600,24203,24207,"24,206.86",374100000
"May 18, 2020",24060,24709,24060,24597,"24,597.37",484190000
"May 15, 2020",23455,23730,23354,23685,"23,685.42",491510000
"May 14, 2020",23049,23631,22790,23625,"23,625.34",472700000
"May 13, 2020",23702,23709,23068,23248,"23,247.97",469950000
"May 12, 2020",24293,24382,23762,23765,"23,764.78",359480000
"May 11, 2020",24256,24366,24070,24222,"24,221.99",352400000
"May 08, 2020",24108,24350,24107,24331,"24,331.32",335760000
"May 07, 2020",23837,24095,23834,23876,"23,875.89",369890000
"May 06, 2020",23979,24055,23661,23665,"23,664.64",377450000
"May 05, 2020",23959,24170,23869,23883,"23,883.09",369710000
"May 04, 2020",23582,23770,23361,23750,"23,749.76",355360000
"May 01, 2020",24121,24121,23645,23724,"23,723.69",418160000
"Apr 30, 2020",24586,24586,24187,24346,"24,345.72",487840000
"Apr 29, 2020",24490,24765,24454,24634,"24,633.86",455290000
"Apr 28, 2020",24357,24512,24031,24102,"24,101.55",400250000
"Apr 27, 2020",23866,24208,23841,24134,"24,133.78",389390000
"Apr 24, 2020",23628,23826,23418,23775,"23,775.27",376020000
"Apr 23, 2020",23543,23885,23483,23515,"23,515.26",389290000
"Apr 22, 2020",23437,23613,23340,23476,"23,475.82",352880000
"Apr 21, 2020",23365,23365,22942,23019,"23,018.88",485140000
"Apr 20, 2020",24095,24109,23627,23650,"23,650.44",423410000
"Apr 17, 2020",23817,24264,23817,24242,"24,242.49",525950000
"Apr 16, 2020",23544,23598,23211,23538,"23,537.68",471050000
"Apr 15, 2020",23601,23650,23233,23504,"23,504.35",437630000
"Apr 14, 2020",23691,24041,23683,23950,"23,949.76",485910000
"Apr 13, 2020",23699,23699,23095,23391,"23,390.77",394320000
"Apr 09, 2020",23691,24009,23504,23719,"23,719.37",566400000
"Apr 08, 2020",22893,23513,22683,23434,"23,433.57",472740000
"Apr 07, 2020",23537,23617,22634,22654,"22,653.86",594660000
"Apr 06, 2020",21694,22783,21694,22680,"22,679.99",610760000
"Apr 03, 2020",21286,21448,20863,21053,"21,052.53",450010000
"Apr 02, 2020",20819,21478,20735,21413,"21,413.44",529540000
"Apr 01, 2020",21227,21487,20784,20944,"20,943.51",506680000
"Mar 31, 2020",22208,22480,21852,21917,"21,917.16",571210000
"Mar 30, 2020",21678,22378,21522,22327,"22,327.48",545540000
"Mar 27, 2020",21898,22328,21469,21637,"21,636.78",588830000
"Mar 26, 2020",21468,22595,21427,22552,"22,552.17",705180000
"Mar 25, 2020",21050,22020,20538,21201,"21,200.55",796320000
"Mar 24, 2020",19722,20738,19649,20705,"20,704.91",799340000
"Mar 23, 2020",19028,19121,18214,18592,"18,591.93",787970000
"Mar 20, 2020",20253,20531,19094,19174,"19,173.98",872290000
"Mar 19, 2020",19830,20443,19177,20087,"20,087.19",780300000
"Mar 18, 2020",20189,20489,18917,19899,"19,898.92",871360000
"Mar 17, 2020",20487,21379,19882,21237,"21,237.38",793060000
"Mar 16, 2020",20918,21768,20116,20189,"20,188.52",770130000
"Mar 13, 2020",21974,23190,21285,23186,"23,185.62",843080000
"Mar 12, 2020",22185,22838,21154,21201,"21,200.62",908260000
"Mar 11, 2020",24605,24605,23328,23553,"23,553.22",663960000
"Mar 10, 2020",24453,25021,23690,25018,"25,018.16",654860000
"Mar 09, 2020",24992,24992,23706,23851,"23,851.02",750430000
"Mar 06, 2020",25457,25994,25227,25865,"25,864.78",599780000
"Mar 05, 2020",26672,26672,25943,26121,"26,121.28",477370000
"Mar 04, 2020",26384,27102,26286,27091,"27,090.86",457590000
"Mar 03, 2020",26762,27085,25706,25917,"25,917.41",647080000
"Mar 02, 2020",25591,26706,25392,26703,"26,703.32",637200000
"Feb 28, 2020",25271,25494,24681,25409,"25,409.36",915990000
"Feb 27, 2020",26526,26775,25753,25767,"25,766.64",664980000
"Feb 26, 2020",27159,27543,26891,26958,"26,957.59",472450000
"Feb 25, 2020",28038,28149,26998,27081,"27,081.36",513270000
"Feb 24, 2020",28403,28403,27912,27961,"27,960.80",452580000
"Feb 21, 2020",29147,29147,28893,28992,"28,992.41",311210000
"Feb 20, 2020",29296,29368,28960,29220,"29,219.98",287780000
"Feb 19, 2020",29313,29409,29274,29348,"29,348.03",240640000
"Feb 18, 2020",29283,29330,29117,29232,"29,232.19",256600000
"Feb 14, 2020",29440,29463,29283,29398,"29,398.08",231000000
